D,d,N,V,S,g1,g2,g3,g4,g5,g6,g7,g8
1.9695563239623546,0.5,21.0,27.943191284560083,56626.48033651764,-0.13918429103915564,-0.3,-0.5304436760376454,-0.9391126479247092,-5.464255287311747,-7.099627259021801e-05,-132373.51966348235,-2.0568087154399173
1.22305840450544,0.283,9.0,2.6585969769814293,187993.01007451315,-8.945559521934829,-0.08299999999999996,-1.49394159549456,-1.3217611466623325,-5.464262856580448,-5.333464562085055e-05,-1006.9899254868506,-27.34140302301857
2.0675314697168523,0.394,7.0,7.127329481496668,111368.0986307395,-8.490781297762114,-0.194,-0.5384685302831476,-2.247541801311808,-5.464224389328634,-0.0001430915665205923,-77631.9013692605,-22.872670518503334
2.2032806069578825,0.5,15.0,23.104602223720498,61031.2054602961,-3.2892822155035457,-0.3,-0.2967193930421175,-1.406561213915765,-5.464284664651064,-2.449147517014083e-06,-127968.7945397039,-6.895397776279502
1.4178656959400153,0.307,8.0,3.2972478995204724,167264.94540871933,-8.990695481582046,-0.10699999999999998,-1.2751343040599847,-1.618455035635229,-5.464258644474614,-6.316289256780294e-05,-21735.05459128067,-26.70275210047953
1.482403896760468,0.307,7.0,3.1025983871021605,172637.37035359011,-9.313035567338485,-0.10699999999999998,-1.210596103239532,-1.8286771881448471,-5.4642556702015455,-7.010286306075031e-05,-16362.629646409885,-26.897401612897838
1.5072137607153133,0.331,9.0,4.481911506351615,142467.05680514887,-8.391090729497156,-0.131,-1.1617862392846867,-1.5535158933997382,-5.464242218849146,-0.00010148935199083553,-46532.943194851134,-25.518088493648385
2.1108063832404063,0.4375,10.0,11.962598138952822,84956.94965999838,-6.70173168186216,-0.2375,-0.45169361675959374,-1.8247003045495003,-5.464269504558648,-3.782269648744396e-05,-104043.05034000162,-18.03740186104718
1.180843311462951,0.283,10.0,2.800181262358599,183587.60154169486,-8.648439441748161,-0.08299999999999996,-1.536156688537049,-1.172591206582866,-5.464271832524448,-3.239077628780507e-05,-5412.398458305135,-27.1998187376414
2.0733753678065887,0.5,18.0,25.579243319017717,58569.95438491241,-1.7142591293931932,-0.3,-0.4266246321934113,-1.1467507356131774,-5.464277738817958,-1.8609424765170246e-05,-130430.04561508758,-4.420756680982283
1.3162156478031952,0.307,10.0,3.673032749825694,158882.9292330879,-8.346053557888096,-0.10699999999999998,-1.3767843521968048,-1.287347386981092,-5.464276067366429,-2.2509478332155552e-05,-30117.070766912104,-26.326967250174306
1.482403896760468,0.307,7.0,3.1025983871021605,172637.37035359011,-9.313035567338485,-0.10699999999999998,-1.210596103239532,-1.8286771881448471,-5.4642556702015455,-7.010286306075031e-05,-16362.629646409885,-26.897401612897838
2.373428929107459,0.5,12.0,20.496704028842807,64293.76460306774,-4.864244197210154,-0.3,-0.12657107089254094,-1.7468578582149181,-5.464273259163046,-2.9061952891762388e-05,-124706.23539693226,-9.503295971157193
2.4432654105771214,0.5,11.0,19.59267622752485,65643.18865219058,-5.389266053478278,-0.3,-0.05673458942287857,-1.8865308211542429,-5.464279816043483,-1.3762565205688304e-05,-123356.81134780942,-10.407323772475149
2.373428929107459,0.5,12.0,20.496704028842807,64293.76460306774,-4.864244197210154,-0.3,-0.12657107089254094,-1.7468578582149181,-5.464273259163046,-2.9061952891762388e-05,-124706.23539693226,-9.503295971157193
2.3109235353212116,0.5,13.0,21.382407276363008,63090.78906311442,-4.3392847460635835,-0.3,-0.18907646467878836,-1.6218470706424233,-5.464285423819075,-6.777554912851258e-07,-125909.21093688559,-8.617592723636992
2.1764854805084024,0.394,6.0,6.669264765892874,115727.27753095336,-8.904628726016611,-0.194,-0.42951451949159747,-2.5240748236253863,-5.464268617804983,-3.989178837282559e-05,-73272.72246904664,-23.330735234107127
2.3109235353212116,0.5,13.0,21.382407276363008,63090.78906311442,-4.3392847460635835,-0.3,-0.18907646467878836,-1.6218470706424233,-5.464285423819075,-6.777554912851258e-07,-125909.21093688559,-8.617592723636992
2.2545426719113015,0.5,14.0,22.25144427713954,62009.98715254863,-3.8142710314622548,-0.3,-0.24545732808869847,-1.509085343822603,-5.464281309438676,-1.0277976421724233e-05,-126990.01284745138,-7.748555722860459
2.2545426719113015,0.5,14.0,22.25144427713954,62009.98715254863,-3.8142710314622548,-0.3,-0.24545732808869847,-1.509085343822603,-5.464281309438676,-1.0277976421724233e-05,-126990.01284745138,-7.748555722860459
1.5605473869080166,0.307,6.0,2.9032434360001935,179184.73289966976,-9.635449511852649,-0.10699999999999998,-1.1324526130919834,-2.083216244000054,-5.464274853555795,-2.5341703146164463e-05,-9815.267100330238,-27.096756563999808
1.778352919879563,0.394,11.0,8.855100659364703,99933.39607057707,-6.836013717330263,-0.194,-0.8276470801204372,-1.5135860910648802,-5.46423411519908,-0.00012039786881468117,-89066.60392942293,-21.1448993406353
1.7662855150763213,0.362,8.0,5.711074197837927,125096.60154293595,-8.413209231091706,-0.16199999999999998,-0.8717144849236789,-1.8792417543544788,-5.464262769327512,-5.3538235806005474e-05,-63903.398457064046,-24.288925802162073
2.156393601348786,0.5,16.0,23.94309575064702,60139.51081727738,-2.764268270493295,-0.3,-0.3436063986512141,-1.3127872026975718,-5.464280481147989,-1.2210654692479395e-05,-128860.48918272261,-6.0569042493529786
2.2032806069578825,0.5,15.0,23.104602223720498,61031.2054602961,-3.2892822155035457,-0.3,-0.2967193930421175,-1.406561213915765,-5.464284664651064,-2.449147517014083e-06,-127968.7945397039,-6.895397776279502
1.2750737210667935,0.307,11.0,3.854740550341119,155524.05910764803,-8.023631920905318,-0.10699999999999998,-1.4179262789332066,-1.153334596308774,-5.464254576271595,-7.265536627709679e-05,-33475.940892351966,-26.14525944965888
1.638870654333585,0.331,7.0,3.987336881938372,151218.08710621856,-9.086334583559843,-0.131,-1.0301293456664151,-1.9512708590138512,-5.464285375067953,-7.915081099429955e-07,-37781.91289378144,-26.012663118061628
2.4432654105771214,0.5,11.0,19.59267622752485,65643.18865219058,-5.389266053478278,-0.3,-0.05673458942287857,-1.8865308211542429,-5.464279816043483,-1.3762565205688304e-05,-123356.81134780942,-10.407323772475149
1.5765707966488562,0.4375,24.0,19.358989954395273,69934.81060532833,-0.2704550435385915,-0.2375,-0.9859292033511435,-0.603590392340243,-5.464261513061578,-5.646952298543617e-05,-119065.18939467167,-10.641010045604727
2.156393601348786,0.5,16.0,23.94309575064702,60139.51081727738,-2.764268270493295,-0.3,-0.3436063986512141,-1.3127872026975718,-5.464280481147989,-1.2210654692479395e-05,-128860.48918272261,-6.0569042493529786
2.1132492797272686,0.5,17.0,24.76760959025676,59322.25419310107,-2.2392805065235155,-0.3,-0.3867507202727314,-1.2264985594545372,-5.464284151957055,-3.645433538812526e-06,-129677.74580689892,-5.232390409743239
1.886842032412817,0.4375,14.0,14.257763077122414,78549.49803931775,-4.864274995972738,-0.2375,-0.675657967587183,-1.3127817883721535,-5.464282498791821,-7.502819083349266e-06,-110450.50196068225,-15.742236922877586
1.8466603743047234,0.362,7.0,5.373861073567799,129207.75239497489,-8.79336506458861,-0.16199999999999998,-0.7913396256952767,-2.101271752222993,-5.464279519376583,-1.4454787973239291e-05,-59792.24760502511,-24.6261389264322
1.369360893867019,0.331,12.0,5.1825284925506825,133438.39338096598,-7.348572523546139,-0.131,-1.299639106132981,-1.1370419754290602,-5.464281757063842,-9.233517703099992e-06,-55561.60661903402,-24.81747150744932
2.1132492797272686,0.5,17.0,24.76760959025676,59322.25419310107,-2.2392805065235155,-0.3,-0.3867507202727314,-1.2264985594545372,-5.464284151957055,-3.645433538812526e-06,-129677.74580689892,-5.232390409743239
2.0733753678065887,0.5,18.0,25.579243319017717,58569.95438491241,-1.7142591293931932,-0.3,-0.4266246321934113,-1.1467507356131774,-5.464277738817958,-1.8609424765170246e-05,-130430.04561508758,-4.420756680982283
2.036335147378225,0.5,19.0,26.37839181161241,57873.90830208332,-1.1892794267822104,-0.3,-0.46366485262177504,-1.07267029475645,-5.464283828034663,-4.4012524522685226e-06,-131126.09169791668,-3.62160818838759
2.036335147378225,0.5,19.0,26.37839181161241,57873.90830208332,-1.1892794267822104,-0.3,-0.46366485262177504,-1.07267029475645,-5.464283828034663,-4.4012524522685226e-06,-131126.09169791668,-3.62160818838759
2.001813088825444,0.5,20.0,27.166016998491095,57227.78201252758,-0.664282730715934,-0.3,-0.4981869111745558,-1.0036261776508884,-5.464284819214781,-2.0884988460867504e-06,-131772.21798747242,-2.833983001508905
2.001813088825444,0.5,20.0,27.166016998491095,57227.78201252758,-0.664282730715934,-0.3,-0.4981869111745558,-1.0036261776508884,-5.464284819214781,-2.0884988460867504e-06,-131772.21798747242,-2.833983001508905
1.9695563239623546,0.5,21.0,27.943191284560083,56626.48033651764,-0.13918429103915564,-0.3,-0.5304436760376454,-0.9391126479247092,-5.464255287311747,-7.099627259021801e-05,-132373.51966348235,-2.0568087154399173
1.5675496376766018,0.331,8.0,4.237571544262004,146464.43651675564,-8.738694877003345,-0.131,-1.1014503623233982,-1.7357995095969843,-5.464258463101004,-6.358609765833023e-05,-42535.56348324436,-25.762428455737997
1.6409410052188456,0.394,14.0,10.056460405569549,94598.21107180315,-5.595076565524237,-0.194,-0.9650589947811543,-1.164824886342247,-5.464282969657272,-6.404133033433013e-06,-94401.78892819685,-19.94353959443045
1.300857714923097,0.331,14.0,5.626593254488396,129020.64137156295,-6.6531336099962495,-0.131,-1.368142285076903,-0.9300837308854897,-5.464180082998875,-0.0002464730026248141,-59979.358628437054,-24.373406745511602
1.3632620565757558,0.307,9.0,3.4872937979618,162748.85879143208,-8.668406015234519,-0.10699999999999998,-1.3297379434242442,-1.4405930181620707,-5.464276804570356,-2.0789335836601808e-05,-26251.14120856792,-26.5127062020382
1.8333931774115044,0.331,5.0,3.4693602039236664,164306.10231308558,-9.781415009315628,-0.131,-0.8356068225884954,-2.5389521976178377,-5.464279502794689,-1.4493479060018188e-05,-24693.897686914424,-26.530639796076333
1.658346561936616,0.307,5.0,2.6995404526506603,187432.73664438055,-9.957742949442526,-0.10699999999999998,-1.034653438063384,-2.4017803320410946,-5.464257884832757,-6.493539023244566e-05,-1567.2633556194487,-27.30045954734934
1.180843311462951,0.283,10.0,2.800181262358599,183587.60154169486,-8.648439441748161,-0.08299999999999996,-1.536156688537049,-1.172591206582866,-5.464271832524448,-3.239077628780507e-05,-5412.398458305135,-27.1998187376414
1.1113623271898223,0.283,12.0,3.074654576458143,176411.73759117062,-8.05343437601989,-0.08299999999999996,-1.6056376728101778,-0.9270753610947788,-5.464060312805967,-0.0005259367860765973,-12588.262408829381,-26.925345423541856
1.8046980900791263,0.4375,16.0,15.341680448642157,76232.52683008196,-3.945529123031653,-0.2375,-0.7578019099208735,-1.125024205895146,-5.464283736909496,-4.613877842007952e-06,-112767.47316991804,-14.658319551357843
1.9774488960014516,0.394,8.0,7.574212168288646,107782.3534948029,-8.077281276281147,-0.194,-0.6285511039985483,-2.0189058274148515,-5.464284382884344,-3.1066031975779396e-06,-81217.6465051971,-22.425787831711354
1.5675496376766018,0.331,8.0,4.237571544262004,146464.43651675564,-8.738694877003345,-0.131,-1.1014503623233982,-1.7357995095969843,-5.464258463101004,-6.358609765833023e-05,-42535.56348324436,-25.762428455737997
1.2060185570085937,0.307,13.0,4.206895792668429,149940.220411033,-7.378904153386776,-0.10699999999999998,-1.4869814429914063,-0.9283992084970478,-5.464246246016033,-9.20926292573565e-05,-39059.77958896701,-25.79310420733157
